[20-Jul-2011 17:11:35] PHP Fatal error:  Call to a member function clearDecorators() on a non-object in /var/www/site1/application/views/scripts/register/registerForm.phtml on line 9
[20-Jul-2011 17:11:36] PHP Fatal error:  Call to a member function clearDecorators() on a non-object in /var/www/site1/application/views/scripts/register/registerForm.phtml on line 9
[20-Jul-2011 17:11:36] PHP Fatal error:  Call to a member function clearDecorators() on a non-object in /var/www/site1/application/views/scripts/register/registerForm.phtml on line 9
[20-Jul-2011 17:11:36] PHP Fatal error:  Call to a member function clearDecorators() on a non-object in /var/www/site1/application/views/scripts/register/registerForm.phtml on line 9
[20-Jul-2011 17:13:46] PHP Fatal error:  Call to a member function setDecorators() on a non-object in /var/www/site1/application/views/scripts/register/registerForm.phtml on line 23
[20-Jul-2011 17:13:59] PHP Fatal error:  Call to a member function setDecorators() on a non-object in /var/www/site1/application/views/scripts/register/registerForm.phtml on line 27
[23-Nov-2011 15:07:35] PHP Fatal error:  Call to a member function getResource() on a non-object in /var/www/site1/application/models/DbTable/Category.php on line 41
[23-Nov-2011 15:07:35] PHP Stack trace:
[23-Nov-2011 15:07:35] PHP   1. {main}() /usr/local/zend/bin/phpunit:0
[23-Nov-2011 15:07:35] PHP   2. PHPUnit_TextUI_Command::main() /usr/local/zend/bin/phpunit:44
[23-Nov-2011 15:07:35] PHP   3. PHPUnit_TextUI_Command->run() /usr/local/zend/share/pear/PHPUnit/TextUI/Command.php:125
[23-Nov-2011 15:07:35] PHP   4. PHPUnit_TextUI_TestRunner->doRun() /usr/local/zend/share/pear/PHPUnit/TextUI/Command.php:187
[23-Nov-2011 15:07:35] PHP   5. PHPUnit_Framework_TestSuite->run() /usr/local/zend/share/pear/PHPUnit/TextUI/TestRunner.php:325
[23-Nov-2011 15:07:35] PHP   6. PHPUnit_Framework_TestSuite->run() /usr/local/zend/share/pear/PHPUnit/Framework/TestSuite.php:705
[23-Nov-2011 15:07:35] PHP   7. PHPUnit_Framework_TestSuite->runTest() /usr/local/zend/share/pear/PHPUnit/Framework/TestSuite.php:745
